C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
16  |GJ 792                             |** |077.8010858762613 -00.5632499504531|  38|    1|   15.3999  pc  |  -0.1026     +0.1026  |paral   |2020yCat.1350....0G
17  |GD 402                             |WD*|098.6659014065423 -06.8914054731888|  20|    1|   39.585   pc  |  -0.0489     +0.0489  |paral   |2020yCat.1350....0G
18  |GJ 806                             |PM*|084.0680728966058 +01.0084722613343| 140|    1|   12.0641  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
19  |GJ 1268                            |PM*|101.3119065499749 -04.6081870442874|  29|    1|   15.6807  pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
20  |G 233-42                           |PM*|108.6935262272659 -04.9285881994094|  16|    1|   16.4146  pc  |  -0.0073     +0.0073  |paral   |2020yCat.1350....0G
21  |GJ 3069                            |Er*|124.4933691402024 -08.6570531469708|  31|    1|   11.1095  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
22  |GJ 53                              |SB*|125.3721460644706 -07.8718126341418| 557|    1|    7.6753  pc  |  -0.0256     +0.0256  |paral   |2020yCat.1350....0G
23  |G 173-37                           |PM*|135.2909653625410 -11.4028998403718|  35|    1|   14.32    pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
24  |GJ 3136                            |Er*|135.6396665831777 -11.5020599315386|  63|    1|   17.0909  pc  |  -0.0082     +0.0082  |paral   |2020yCat.1350....0G
25  |GJ 96                              |PM*|138.2919893287096 -12.2651516060993| 128|    1|   11.953   pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
26  |GJ 1059                            |PM*|150.8063857922985 -12.5146677079384|  27|    1|   14.7314  pc  |  -0.0062     +0.0062  |paral   |2020yCat.1350....0G
27  |GJ 892                             |Er*|109.8984586896835 -03.1985995969828| 558|    1|    6.5417  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
28  |GJ 895                             |PM*|111.5529672235916 -03.0840887422884| 108|    1|   13.232   pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
29  |GJ 34 B                            |PM*|122.6176139505233 -05.0524863279744| 109|    1|    5.9270  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
30  |GJ 34 A                            |PM*|122.6200464181613 -05.0551575157688| 619|    1|    5.9230  pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
31  |GJ 107 A                           |PM*|141.1655001030910 -09.6096955894506| 396|    1|   11.1501  pc  |  -0.0203     +0.0203  |paral   |2020yCat.1350....0G
32  |GJ 107 B                           |PM*|141.1598171047797 -09.6087804184757|  54|    1|   11.1889  pc  |  -0.0040     +0.0040  |paral   |2020yCat.1350....0G
33  |GJ 860 B                           |Er*|104.6885322871001 -00.0022308513406| 169|    1|    4.0005  pc  |  -0.0118     +0.0118  |paral   |2018yCat.1345....0G
34  |G 217-32                           |** |117.5505359036235 -02.0323783339133|  33|    1|   15.384   pc  |  -0.0276     +0.0276  |paral   |2020yCat.1350....0G
35  |GAT 1367                           |PM*|117.8254612281189 -03.3310917270366|  28|    1|    9.3120  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
36  |GJ 63                              |PM*|129.2742397206325 -05.0603098043827|  41|    1|   13.1777  pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
37  |GJ 124                             |PM*|144.5977805521842 -07.3801802852219| 525|    1|   10.5774  pc  |  -0.0162     +0.0162  |paral   |2020yCat.1350....0G
38  |GJ 1245 B                          |Er*|078.8598181807316 +08.5081075784345| 177|    1|    4.6603  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
39  |GJ 1245 A                          |Er*|078.8581467561683 +08.5094169955297| 204|    1|    4.6919  pc  |  -0.0126     +0.0126  |paral   |2018yCat.1345....0G
40  |IRAS 21500+5903                    |PM*|101.7304030765098 +04.0386106366924|  15|    1|    8.1263  pc  |  -0.0393     +0.0393  |paral   |2018yCat.1345....0G
41  |GJ 51                              |Er*|124.3105294478614 -00.4743991407162| 180|    1|    9.8646  pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
42  |GJ 49                              |PM*|124.2323231673278 -00.4983915387843| 221|    1|    9.8596  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
43  |GJ 47                              |PM*|124.1176498198641 -01.4832168746734|  82|    1|   10.5296  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
44  |GJ 82                              |Er*|131.7215998530129 -03.1861374909438|  86|    1|   13.1077  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
45  |GJ 3182                            |WD*|139.5403822830560 -04.6598570010764|  60|    1|   10.8653  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
46  |GJ 1243                            |Er*|080.4403447012691 +09.9500674794591| 152|    1|   11.9769  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
47  |GJ 22 B                            |PM*|121.0954806857240 +04.4302168640684|  52|    1|    9.9605  pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
48  |GJ 52                              |PM*|124.6552458469024 +01.1221211653712| 104|    1|   15.0678  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
49  |GJ 69                              |PM*|128.6550932119606 +01.5336607000813| 112|    1|   13.5177  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
50  |GJ 75                              |BY*|129.0877471625275 +01.6557972836547| 329|    1|   10.0411  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
51  |GJ 3126                            |PM*|130.5899052080725 +01.9461646813356|  63|    1|   11.897   pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
52  |GJ 3118                            |WD*|129.3942889007008 +02.3201978898333|  43|    1|   17.3013  pc  |  -0.0047     +0.0047  |paral   |2020yCat.1350....0G
53  |LSR J0419+4233                     |PM*|158.6564380793039 -05.4068010625928|  20|    1|   10.2618  pc  |  -0.0100     +0.0100  |paral   |2020yCat.1350....0G
54  |GJ 1253                            |PM*|093.7415070718881 +11.7034557039399|  58|    1|    9.5747  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
55  |GJ 809                             |PM*|098.7124769742004 +11.0910044334626| 205|    1|    7.0395  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
56  |G 264-12                           |PM*|106.1464351247901 +10.1627750768480|  34|    1|   15.9863  pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
57  |GJ 4312                            |PM*|113.6771994868983 +07.6846606779695|  28|    1|   15.4022  pc  |  -0.0044     +0.0044  |paral   |2020yCat.1350....0G
58  |GJ 9113 B                          |PM*|141.0814070250669 +00.4935608840694|  29|    1|   13.5912  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
59  |GJ 1254                            |PM*|096.9765829419983 +12.7071460478854|  47|    1|   15.9782  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
60  |GJ 807                             |PM*|097.8683102249 +11.6435318435      | 429|    1|   14.3683  pc  |  -0.0264     +0.0264  |paral   |2020yCat.1350....0G
61  |GJ 48                              |Er*|123.8142751324599 +08.8270861074362| 146|    1|    8.2331  pc  |  -0.0010     +0.0010  |paral   |2020yCat.1350....0G
62  |G 246-33                           |** |139.42301244 +03.89944210          |  24|    1|   10.9     pc  |  -2.7        +2.7     |ST-L    |2009ApJ...699..649S
63  |GJ 164                             |** |150.8262954534428 +01.0153381094130|  50|    1|   13.2263  pc  |  -0.0356     +0.0356  |paral   |2018yCat.1345....0G
64  |GJ 4117                            |PM*|085.3944509796003 +15.3662108404612|  30|    1|   15.2104  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
65  |GJ 793                             |PM*|099.9357005840019 +15.0585529433415| 148|    1|    8.0870  pc  |  -0.0009     +0.0009  |paral   |2020yCat.1350....0G
66  |GJ 909 A                           |SB*|119.1895557290186 +13.1033230802300| 131|    1|   10.8965  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
67  |GJ 909 B                           |PM*|119.1890086274416 +13.1033560257892|  21|    1|   10.8051  pc  |  -0.0193     +0.0193  |paral   |2018yCat.1345....0G
68  |GJ 3125                            |** |127.9490973035006 +11.3605850022494|  23|    1|   11.849   pc  |  -0.0156     +0.0156  |paral   |2020yCat.1350....0G
69  |Ross 567                           |PM*|142.2297833390509 +06.7193027189526|  38|    1|   12.315   pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
70  |GJ 172                             |Er*|153.2364502126269 +03.8866134293352| 168|    1|    9.9092  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
71  |G 81-34                            |** |157.804448209 +02.412435687        |  27|    1|   13.6     pc  |  -2.7        +2.7     |ST-L    |2009ApJ...699..649S
72  |2MASS J19010601+4718136            |BD*|077.49003012 +18.04073267          |  12|    1|   15       pc  |  -2          +2       |ST-L    |2009AJ....137....1F
73  |GJ 903                             |SB*|118.9922663443380 +15.3154877793981| 573|    1|   13.790   pc  |  -0.0280     +0.0280  |paral   |2020yCat.1350....0G
74  |GJ 3266                            |Er*|142.3706030606221 +09.7437271697318|  33|    1|   12.0623  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
75  |GJ 169.1 A                         |PM*|148.1026149301820 +07.3117207012510| 131|    1|    5.5174  pc  |  -0.0015     +0.0015  |paral   |2020yCat.1350....0G
76  |GJ 169.1 B                         |WD*|148.1033803419558 +07.3141096056819| 115|    1|    5.5165  pc  |  -0.0006     +0.0006  |paral   |2020yCat.1350....0G
77  |GJ 720 A                           |PM*|074.3933987676413 +21.7322314984159| 122|    1|   15.5676  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
78  |GJ 720 B                           |PM*|074.4194312789831 +21.7126137419268|  58|    1|   15.5739  pc  |  -0.0042     +0.0042  |paral   |2020yCat.1350....0G
79  |GJ 1053                            |PM*|132.3931496561689 +13.5204144525220|  32|    1|   12.0977  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
80  |GJ 3248                            |PM*|134.7453029468946 +14.8836258003879|  31|    1|   15.9569  pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
81  |GJ 184                             |PM*|155.5215286505507 +07.0225660840000|  88|    1|   13.8555  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
82  |GJ 195 A                           |PM*|162.7894619725927 +04.5762167616572|  66|    1|   13.3419  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
83  |GJ 195 B                           |PM*|162.7904401310975 +04.5758521884130|  18|    1|   13.3007  pc  |  -0.0094     +0.0094  |paral   |2020yCat.1350....0G
84  |GJ 194                             |SB*|162.58847600 +04.56643053          |1159|    1|   13.0     pc  |                       |paral   |2010A&ARv..18...67T
85  |GJ 725 B                           |PM*|089.2846838768658 +24.2295380594028| 311|    1|    3.5231  pc  |  -0.0003     +0.0003  |paral   |2020yCat.1350....0G
86  |GJ 725 A                           |PM*|089.2883561508051 +24.2307079948644| 356|    1|    3.5231  pc  |  -0.0002     +0.0002  |paral   |2020yCat.1350....0G
87  |GJ 764                             |PM*|101.3033259307169 +21.8769554079307| 601|    1|    5.7638  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
88  |GJ 133                             |PM*|129.3701833577472 +19.0246159087862|  66|    1|   13.9551  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
89  |G 221-28                           |PM*|135.1946730851124 +16.4133370456157|  20|    1|   15.9175  pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
90  |LSR J0515+5911                     |PM*|151.5063969179217 +11.9083193882939|  15|    1|   15.783   pc  |  -0.0595     +0.0595  |paral   |2020yCat.1350....0G
91  |GJ 1081                            |** |165.2050846213421 +06.3351333963656|  48|    1|   15.2818  pc  |  -0.2378     +0.2378  |paral   |2018yCat.1345....0G
92  |GJ 1228                            |WD*|083.6942668463469 +24.8180907023585|  84|    1|   17.0354  pc  |  -0.0073     +0.0073  |paral   |2020yCat.1350....0G
93  |GJ 4054                            |WD*|090.2799419699645 +27.0887770140007|  46|    1|   13.7077  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
94  |GJ 1227                            |PM*|091.4485224541856 +27.0916501863078|  74|    1|    8.3506  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
95  |GJ 742                             |WD*|101.5613614507378 +24.7738682477566| 233|    1|   12.8751  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
96  |LP 44-334                          |** |103.50287092 +26.64637829          |  16|    1|   16.9     pc  |                       |paral   |2009AJ....137.4109L
97  |GJ 1238                            |PM*|107.2256383733537 +24.1963385053741|  28|    1|   10.6307  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
98  |GJ 1035                            |PM*|123.7064975092783 +21.3301698175278|  31|    1|   14.4483  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
99  |G 248-12                           |PM*|131.4964374075538 +19.8052262756911|  17|    1|   13.5153  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
100 |GJ 212                             |PM*|158.3898362164400 +11.9719977565902| 172|    1|   12.2753  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
101 |GJ 211                             |BY*|158.3844924698174 +11.9452892157090| 313|    1|   12.2701  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
102 |2MASS J18071593+5015316            |BD*|077.9786618451910 +27.3620760585431|  37|    1|   14.606   pc  |  -0.0208     +0.0208  |paral   |2020yCat.1350....0G
103 |G 227-22                           |PM*|093.7431338791498 +29.5388855451247|  64|    1|    7.7938  pc  |  -0.0019     +0.0019  |paral   |2020yCat.1350....0G
104 |GJ 4053                            |Er*|096.0486258546403 +27.9002057952556|  80|    1|    7.6421  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
105 |GJ 713                             |SB*|103.45634735 +28.05705682          | 391|    1|    8.3     pc  |  -0.1        +0.1     |paral   |2010A&ARv..18...67T
106 |GJ 215                             |PM*|150.7315933976533 +16.6414767012775|  75|    1|   13.4919  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
107 |GJ 3372                            |Er*|154.9664636142101 +16.5981276527190|  45|    1|   13.476   pc  |  -0.0045     +0.0045  |paral   |2020yCat.1350....0G
108 |GJ 3371                            |PM*|154.9282952585514 +16.5722778651755|  60|    1|   13.488   pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
109 |GJ 4040                            |PM*|073.5771142635391 +28.2264623732534|  75|    1|   13.987   pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
110 |SDSS J175805.46+463311.9           |BD*|073.54586345 +28.17900411          |  36|    1|   13.9     pc  |                       |plx     |2012ApJ...753..156K
111 |GJ 687                             |PM*|098.6023284326657 +31.9640817566486| 271|    1|    4.5498  pc  |  -0.0004     +0.0004  |paral   |2020yCat.1350....0G
112 |GJ 1221                            |WD*|101.4317294846528 +30.6861798834480| 130|    1|    6.2113  pc  |  -0.0004     +0.0004  |paral   |2020yCat.1350....0G
113 |G 259-17                           |PM*|106.9562528322423 +30.4644166325563|  18|    1|   15.5609  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
114 |GJ 699.1                           |WD*|114.9757720619694 +28.8220860772935|  81|    1|   16.3465  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
115 |GJ 1220                            |PM*|114.3814369350985 +29.5785096256243|  28|    1|   12.8642  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
116 |GJ 226                             |PM*|131.5389732531316 +25.4586235655007| 107|    1|    9.4616  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
117 |GJ 3378                            |PM*|154.0642597389661 +17.1760828451807|  79|    1|    7.7338  pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
118 |G 249-36                           |PM*|153.1172553130571 +18.1630634693146|  34|    1|   16.2797  pc  |  -0.0141     +0.0141  |paral   |2020yCat.1350....0G
119 |GJ 3388                            |PM*|162.3671467753688 +15.5464069433897|  29|    1|   14.7927  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
120 |GJ 3380                            |PM*|163.2344199660248 +13.1213501100309|  56|    1|    9.5275  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
121 |HD 160520                          |PM*|083.7126376989116 +32.4293267788352|  14|    1|  156.123   pc  |  -0.3315     +0.3315  |paral   |2020yCat.1350....0G
122 |GJ 685                             |PM*|090.7603068817271 +32.5901295843776| 126|    1|   14.3078  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
123 |* 26 Dra                           |SB*|090.99307349 +32.64958161          | 251|    1|   13.9569  pc  |  -0.0749     +0.0749  |paral   |2018yCat.1345....0G
124 |GJ 684 A                           |PM*|090.9930175688368 +32.6495227808070|  22|    1|   14.4335  pc  |  -0.0417     +0.0417  |paral   |2020yCat.1350....0G
125 |GJ 675                             |PM*|097.5588489587569 +33.1704242132090| 187|    1|   12.7919  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
126 |GJ 1101                            |Er*|130.1860385681463 +28.7773210097771|  60|    1|   13.0915  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
127 |LSPM J1652+6304                    |PM*|093.2864340147447 +37.2962160060440|  22|    1|   15.209   pc  |  -0.0055     +0.0055  |paral   |2020yCat.1350....0G
128 |GJ 648                             |SB*|095.6782606229 +36.4626740640      | 199|    1|   15.0841  pc  |  -0.1006     +0.1006  |paral   |2018yCat.1345....0G
129 |GJ 3971                            |Er*|099.2004666018756 +37.2402997439239|  40|    1|   14.3224  pc  |  -0.0471     +0.0471  |paral   |2020yCat.1350....0G
130 |GJ 597                             |SB*|111.1313913551394 +36.9666197638843|  59|    1|   13.6505  pc  |  -0.0560     +0.0560  |paral   |2020yCat.1350....0G
131 |G 251-58                           |PM*|134.5555604076396 +30.4055606320546|  18|    1|   14.989   pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
132 |GJ 3417                            |** |153.627546837 +24.554284347        |  62|    1|   12.4     pc  |                       |ST-L    |2015ApJ...812....3W
133 |GJ 3412                            |** |155.0665509262251 +23.7844571077791|  65|    1|   10.9157  pc  |  -0.0599     +0.0599  |paral   |2020yCat.1350....0G
134 |GJ 3988                            |PM*|078.4769074861840 +37.4825190503197|  58|    1|    9.9081  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
135 |GJ 1206                            |WD*|088.4516303691748 +38.6884545098673| 205|    1|   10.9481  pc  |  -0.0026     +0.0026  |paral   |2020yCat.1350....0G
136 |GJ 617 A                           |PM*|099.9002813597228 +39.4701034604413| 209|    1|   10.767   pc  |  -0.0016     +0.0016  |paral   |2020yCat.1350....0G
137 |GJ 617 B                           |BY*|099.9182318303097 +39.4587927909673| 128|    1|   10.7644  pc  |  -0.0018     +0.0018  |paral   |2020yCat.1350....0G
138 |G 252-13                           |PM*|141.2971642454483 +33.0824568408014|  39|    1|   14.6597  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
139 |GJ 1098                            |WD*|152.2001146450431 +28.7643700901653|  44|    1|   19.974   pc  |  -0.0156     +0.0156  |paral   |2020yCat.1350....0G
140 |GJ 630.1 A                         |BY*|086.5655223396690 +40.9126382004603| 425|    1|   14.8616  pc  |  -0.0074     +0.0074  |paral   |2020yCat.1350....0G
141 |GJ 630.1 B                         |WD*|086.5734455672853 +40.9083867016836| 114|    1|   14.847   pc  |  -0.0047     +0.0047  |paral   |2020yCat.1350....0G
142 |GJ 445                             |PM*|126.8472097362149 +37.9480684524301| 158|    1|    5.2541  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
143 |GJ 366                             |PM*|135.3872105310832 +36.2425000728480|  78|    1|   15.7915  pc  |  -0.0038     +0.0038  |paral   |2020yCat.1350....0G
144 |GJ 3550                            |PM*|139.5816333197627 +36.4140435233813|  18|    1|   15.0514  pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
145 |GJ 3520                            |PM*|140.5842710643026 +35.0751692644758|  24|    1|   14.3975  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
146 |GJ 325 B                           |PM*|143.2105852915363 +35.5470093073945|  28|    1|   11.587   pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
147 |GJ 3497                            |PM*|146.1117475777418 +33.5964979274095|  28|    1|   12.2891  pc  |  -0.0585     +0.0585  |paral   |2020yCat.1350....0G
148 |GJ 9236                            |PM*|153.5924355803545 +28.7913756060865|  68|    1|   11.8064  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
149 |2MASS J07171626+5705430            |BD*|159.8162780838302 +25.9262988521583|  15|    1|   28.946   pc  |  -0.4877     +0.4877  |paral   |2020yCat.1350....0G
150 |GJ 3421                            |** |164.0593547017345 +23.0858627625188|  54|    1|    9.0231  pc  |  -0.0565     +0.0565  |paral   |2020yCat.1350....0G
151 |2MASS J06523073+4710348            |BD*|169.1554261511767 +19.7110160756610|  33|    1|    9.110   pc  |  -0.0231     +0.0231  |paral   |2020yCat.1350....0G
152 |GJ 625                             |PM*|083.2115214455826 +42.7853303711030| 182|    1|    6.4787  pc  |  -0.0006     +0.0006  |paral   |2020yCat.1350....0G
153 |GJ 9552                            |SB*|084.9026709409739 +43.7086546612881| 191|    1|   20.149   pc  |  -0.1723     +0.1723  |paral   |2020yCat.1350....0G
154 |GJ 420 A                           |PM*|131.8998724235479 +41.9357566696837|  79|    1|   14.4642  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
155 |GJ 420 B                           |PM*|131.9002027886834 +41.9339464091667|  41|    1|   14.4647  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
156 |LP 36-276                          |PM*|139.8671457540632 +38.6571426105975|  11|    1|   29.440   pc  |  -0.0228     +0.0228  |paral   |2020yCat.1350....0G
157 |GJ 360                             |PM*|141.8610278878941 +39.4201921328995|  86|    1|   11.8584  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
158 |GJ 362                             |Er*|141.8383502047178 +39.4375375739225|  97|    1|   11.8626  pc  |  -0.0025     +0.0025  |paral   |2020yCat.1350....0G
159 |GJ 3526                            |PM*|146.1052751993537 +37.1121180804880|  36|    1|   12.2907  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
160 |GJ 3506                            |PM*|147.0079247658879 +34.6941208007771|  50|    1|   12.9976  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
161 |GJ 310                             |** |147.9091338399707 +34.9293329111523|  97|    1|   14.1604  pc  |  -0.0451     +0.0451  |paral   |2020yCat.1350....0G
162 |GJ 311                             |BY*|150.5517200939121 +35.7041974590831| 542|    1|   14.439   pc  |  -0.0101     +0.0101  |paral   |2020yCat.1350....0G
163 |GJ 3452                            |PM*|162.7595865915123 +28.0628600172798|  51|    1|   12.794   pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
164 |GJ 3426                            |PM*|168.4272977210678 +22.5798514244171|  25|    1|   10.6135  pc  |  -0.0028     +0.0028  |paral   |2020yCat.1350....0G
165 |HD 151188                          |** |068.31186414 +40.90319784          |  78|    1|   15.08    pc  |  -0.74       +0.74    |ST-L    |2009ApJS..181..444A
166 |GJ 9492                            |PM*|106.7220334669930 +47.4304199802498|  70|    1|   10.9315  pc  |  -0.0018     +0.0018  |paral   |2020yCat.1350....0G
167 |GJ 3612                            |SB*|138.5815246841689 +43.3125659517940|  38|    1|   12.7267  pc  |  -0.0460     +0.0460  |paral   |2020yCat.1350....0G
168 |LP 37-57                           |PM*|140.9020913820770 +40.9532550063075|  17|    1|   16.057   pc  |  -0.0055     +0.0055  |paral   |2020yCat.1350....0G
169 |GJ 275.2 A                         |PM*|169.9702620721758 +26.1730917435960|  57|    1|   11.271   pc  |  -0.0037     +0.0037  |paral   |2020yCat.1350....0G
170 |GJ 275.2 B                         |** |170.00106175 +26.17995984          |  94|    1|   11.1     pc  |  -1.7        +1.7     |ST-L    |2015ApJS..219...19L
171 |GJ 3965                            |WD*|068.0725632668356 +42.5230838134907|  70|    1|   14.4946  pc  |  -0.0033     +0.0033  |paral   |2020yCat.1350....0G
172 |GJ 623                             |SB*|075.1957423138921 +44.0421901786972| 176|    1|    7.8445  pc  |  -0.0296     +0.0296  |paral   |2018yCat.1345....0G
173 |GJ 3815                            |PM*|113.7546208177276 +49.2013608968645|  23|    1|   16.2675  pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
174 |GJ 3704                            |PM*|128.7966861849159 +47.0620185558066|  49|    1|   15.4321  pc  |  -0.0053     +0.0053  |paral   |2020yCat.1350....0G
